  11 the	general	form	of
  10 effective	and	efficient	strategies
   9 simultaneously	on	the	screen
   9 general	form	of	the
   8 use	of	computer	applications
   8 to	use	computer	applications
   8 the	split	window	command
   8 form	of	the	strategy
   6 the	use	of	the
   6 strategies	to	use	computer
   6 in	the	use	of
   6 in	a	new	context
   6 bhavnani	et	al	1996
   6 bhavnani	and	john	2000
   6 a	wide	range	of
   5 view	parts	of	spread
   5 to	use	a	strategy
   5 strategy	view	parts	of
   5 spread	out	information	simultaneously
   5 parts	of	spread	out
   5 out	information	simultaneously	on
   5 of	spread	out	information
   5 known	to	the	computer
   5 information	simultaneously	on	the
   5 in	the	strategy	group
   5 in	the	context	of
   5 for	example	the	strategy
   5 effective	and	efficient	methods
   4 to	a	new	application
   4 the	university	of	michigan
   4 the	strategy-based	instructional	approach
   4 the	strategy	view	parts
   4 the	power	of	computers
   4 the	command	group	and
   4 the	command	ap-specific	group
   4 on	the	screen	in
   4 of	the	strategy-based	instructional
   4 of	effective	and	efficient
   4 nilsen	et	al	1993
   4 in	the	command	group
   4 in	the	cmu	experiments
   4 how	to	use	commands
   4 efficient	strategies	to	use
   4 efficient	and	effective	methods
   4 and	the	strategy	group
   4 and	efficient	strategies	to
   3 window	into	two	panes
   3 view	parts	of	spread-out
   3 users	do	not	acquire
   3 to	new	applications	and
   3 to	fit	simultaneously	on
   3 to	execute	the	strategy
   3 the	strategy	make	dependencies
   3 the	strategy	group	in
   3 the	strategy	framework	and
   3 the	strategic	use	of
   3 the	screen	in	msexcel
   3 the	design	of	the
   3 the	9	general	strategies
   3 tasks	bhavnani	et	al
   3 studies	have	shown	that
   3 students	were	requested	to
   3 students	from	the	command
   3 student	in	the	command
   3 strategy	make	dependencies	known
   3 strategy	framework	and	the
   3 strategies	exploit	the	power
   3 spread-out	information	to	fit
   3 singley	and	anderson	1989
   3 shown	in	table	ii
   3 retention	of	strategic	knowledge
   3 real-world	tasks	bhavnani	et
   3 powers	of	computer	applications
   3 power	of	computers	to
   3 parts	of	spread-out	information
   3 on	how	to	teach
   3 of	spread-out	information	to
   3 more	effective	and	efficient
   3 many	years	of	experience
   3 make	dependencies	known	to
   3 lessons	learned	in	teaching
   3 knowledge	was	guided	by
   3 knowledge	e	g	the
   3 instructional	framework	could	be
   3 instruction	on	how	to
   3 information	to	fit	simultaneously
   3 in	word	and	excel
   3 in	the	posttest	for
   3 how	to	teach	the
   3 group	and	the	strategy
   3 framework	and	the	instructional
   3 for	the	command	group
   3 fit	simultaneously	on	the
   3 exploit	the	power	of
   3 example	the	strategy	make
   3 et	al	1996	and
   3 efficient	use	of	computer
   3 efficient	and	effective	strategies
   3 effective	and	efficient	use
   3 effective	and	efficient	in
   3 dependencies	known	to	the
   3 computer	applications	for	example
   3 commands	in	the	context
   3 between	the	two	groups
   3 as	shown	in	table
   3 and	efficient	use	of
   3 3	application-general	strategic	knowledge
   3 2	application-specific	strategic	knowledge
   2 without	harming	the	acquisition
   2 within	an	application	and
   2 with	the	exception	of
   2 with	minimal	involvement	of
   2 while	the	command	ap-specific
   2 which	were	used	to
   2 which	a	strategy	is
   2 when	to	use	a
   2 were	used	to	implement
   2 were	used	to	identify
   2 were	requested	to	participate
   2 we	tested	whether	the
   2 we	tested	for	an
   2 we	performed	a	two-step
   2 we	implemented	the	notion
   2 we	hypothesized	that	users
   2 we	first	need	to
   2 was	taught	the	general
   2 was	no	statistically	significant
   2 using	the	split	window
   2 using	the	cad	system
   2 users	persist	in	using
   2 users	how	to	use
   2 users	have	difficulty	in
   2 used	by	each	student
   2 use	effective	and	efficient
   2 use	computer	applications	in
   2 use	a	strategy	and
   2 unix	msword	and	msexcel
   2 understanding	of	the	knowledge
   2 under	which	a	strategy
   2 typical	student	in	the
   2 to	view	a	document
   2 to	use	the	strategy
   2 to	use	the	strategies
   2 to	use	the	commands
   2 to	use	basic	commands
   2 to	the	university	of
   2 to	the	third	list
   2 to	the	following	research
   2 to	the	computer	is
   2 to	teach	the	knowledge
   2 to	teach	the	general
   2 to	teach	strategies	explicitly
   2 to	teach	new	applications
   2 to	teach	effective	and
   2 to	recognize	opportunities	to
   2 to	practice	the	commands
   2 to	perform	the	task
   2 to	perform	complex	tasks
   2 to	participate	in	the
   2 to	new	populations	and
   2 to	know	when	to
   2 to	know	what	they
   2 to	explore	how	well
   2 to	design	and	execute
   2 to	almost	400	students
   2 to	a	reduction	in
   2 time	as	the	regular
   2 through	the	use	of
   2 three	sets	of	tasks
   2 this	was	achieved	by
   2 they	were	asked	to
   2 there	was	no	statistically
   2 the	window	into	two
   2 the	use	of	a
   2 the	transfer	of	strategies
   2 the	teaching	guides	for
   2 the	task	was	to
   2 the	students	were	then
   2 the	students	were	shown
   2 the	students	were	asked
