  10 than	or	equal	to
  10 less	than	or	equal
   7 who	use	the	map
   7 that	students	who	use
   7 students	who	use	the
   6 rule	is	that	students
   6 on	their	learning	patterns
   6 is	that	students	who
   6 can	be	used	to
   6 and	the	number	of
   5 witkin	et	al	1977
   5 the	students	learning	patterns
   5 the	students	cognitive	styles
   5 the	hierarchical	map	and
   5 in	other	words	the
   5 field-independent	and	field-dependent	learners
   5 based	on	their	learning
   4 use	the	map	less
   4 to	10	times	and
   4 times	are	classified	as
   4 times	and	use	the
   4 the	total	number	of
   4 the	number	of	repeated
   4 the	number	of	pages
   4 the	map	less	than
   4 the	hierarchical	map	frame
   4 the	frequency	of	using
   4 the	development	of	wbi
   4 the	alphabetical	index	frame
   4 students	learning	patterns	the
   4 or	equal	to	10
   4 of	the	subject	content
   4 of	students	cognitive	styles
   4 number	of	repeated	visits
   4 number	of	pages	browsed
   4 map	less	than	or
   4 intermediate	students	p	0
   4 equal	to	10	times
   4 development	of	wbi	programs
   4 and	use	the	index
   4 10	times	and	use
   3 used	the	hierarchical	map
   3 use	the	map	more
   3 tools	and	display	options
   3 times	and	browse	more
   3 the	preferences	of	both
   3 the	map	more	than
   3 the	k-means	algorithm	and
   3 the	frequencies	of	using
   3 the	frequencies	of	looking
   3 the	automatic	identification	of
   3 the	alphabetical	index	and
   3 than	10	times	and
   3 styles	based	on	their
   3 students	p	0	05
   3 students	learning	patterns	in
   3 students	cognitive	styles	based
   3 see	section	3	3
   3 presented	in	section	4
   3 pages	are	classified	as
   3 one	of	the	most
   3 on	the	basis	of
   3 on	students	learning	patterns
   3 navigation	tools	and	display
   3 more	than	10	times
   3 map	more	than	10
   3 k-means	algorithm	and	decision
   3 is	one	of	the
   3 identification	of	students	cognitive
   3 hierarchical	map	and	the
   3 from	the	right	side
   3 frequency	of	using	the
   3 frequencies	of	using	the
   3 frequencies	of	looking	at
   3 for	the	automatic	identification
   3 field-independent	students	tend	to
   3 cognitive	styles	based	on
   3 cognitive	style	is	a
   3 classified	as	intermediate	students
   3 chen	and	macredie	2004
   3 automatic	identification	of	students
   3 as	intermediate	students	the
   3 are	classified	as	intermediate
   3 and	standard	deviation	of
   3 and	intermediate	students	p
   3 and	browse	more	than
   3 algorithm	and	decision	trees
   3 accommodate	the	preferences	of
   3 10	times	and	browse
   2 worth	noting	that	the
   2 witkin	et	al	1971
   2 were	no	significant	differences
   2 wbi	programs	that	can
   2 wbi	programs	should	be
   2 wbi	program	the	purpose
   2 wa	score	mean	1
   2 visits	frequently	accessed	the
   2 visit	the	detailed	descriptions
   2 value	and	standard	deviation
   2 using	the	hierarchical	map
   2 using	the	examples	and
   2 used	the	decision	tree
   2 used	both	clustering	and
   2 use	the	wbi	program
   2 use	the	index	more
   2 use	the	index	less
   2 total	there	are	eight
   2 took	part	in	the
   2 to	produce	groups	of
   2 to	help	designers	develop
   2 to	determine	whether	cognitive
   2 to	build	an	overall
   2 to	allow	students	to
   2 to	9	times	and
   2 times	and	visit	the
   2 times	and	browse	less
   2 three	cognitive	style	groups
   2 this	decision	tree	the
   2 there	were	no	significant
   2 the	wbi	program	the
   2 the	wbi	program	and
   2 the	significant	differences	of
   2 the	selection	of	navigation
   2 the	right	side	of
   2 the	results	of	our
   2 the	results	obtained	from
   2 the	relationships	among	different
   2 the	number	of	correctly
   2 the	nature	of	the
   2 the	mean	value	and
   2 the	levels	of	their
   2 the	learning	patterns	of
   2 the	learners	of	cluster
   2 the	k-means	algorithm	the
   2 the	index	more	than
   2 the	index	less	than
   2 the	examples	and	the
   2 the	effects	of	cognitive
   2 the	decision	tree	to
   2 the	decision	tree	can
   2 the	data	wang	et
   2 the	cognitive	styles	of
   2 the	behavior	of	users
   2 the	assignment	of	the
   2 the	approval	or	disapproval
   2 that	there	is	a
   2 that	field-independent	students	tend
   2 that	cognitive	styles	have
   2 that	can	accommodate	the
   2 than	9	times	and
   2 than	57	pages	and
   2 terms	of	clustering	the
   2 styles	and	their	learning
   2 style	is	a	major
   2 study	have	shown	that
   2 students	tend	to	be
   2 students	learning	patterns	were
   2 students	cognitive	styles	and
   2 standard	deviation	of	each
   2 so	they	tend	to
   2 similar	learning	patterns	and
   2 significant	positive	correlation	r
   2 selection	of	navigation	tools
   2 right	side	of	the
   2 results	of	our	study
   2 results	obtained	from	the
   2 repeated	visits	frequently	accessed
   2 relationships	patterns	and	interdependencies
   2 relationships	among	different	concepts
   2 programs	that	can	accommodate
   2 program	the	purpose	of
   2 produced	for	the	automatic
   2 produce	groups	of	students
   2 preferences	of	both	field-independent
   2 picture	of	the	subject
   2 pearson	s	correlations	but
   2 patterns	were	analyzed	using
   2 patterns	and	subsequently	the
   2 pages	and	use	the
   2 p	0	05	n
   2 overview	and	the	number
   2 overall	picture	of	the
   2 our	study	have	shown
   2 or	equal	to	9
   2 on	the	use	of
   2 of	using	the	hierarchical
   2 of	using	the	examples
   2 of	this	wbi	program
   2 of	the	wbi	program
   2 of	the	students	cognitive
   2 of	the	experiment	and
   2 of	the	display	options
   2 of	the	decision	tree
   2 of	the	algorithm	is
   2 of	repeated	visits	the
   2 of	our	study	have
   2 of	navigation	tools	and
   2 of	looking	at	examples
   2 of	each	cluster	are
   2 of	each	attribute	for
   2 of	different	cognitive	styles
   2 of	cognitive	styles	on
   2 of	clustering	the	k-means
   2 of	both	field-independent	and
   2 more	than	9	times
   2 more	than	57	pages
   2 methods	in	terms	of
   2 menu	hierarchical	maps	and
   2 mechanism	to	help	designers
   2 mean	value	and	standard
   2 maps	and	alphabetical	index
   2 map	and	alphabetical	index
   2 main	menu	hierarchical	maps
   2 looking	at	examples	and
   2 looked	at	the	detailed
   2 level	of	the	tree
   2 learning	patterns	within	wbi
   2 learning	patterns	were	analyzed
   2 learning	patterns	the	latter
   2 learning	patterns	and	subsequently
   2 learners	of	each	cluster
   2 it	is	worth	noting
   2 it	is	necessary	to
   2 is	worth	noting	that
   2 is	concerned	the	students
   2 is	a	major	factor
   2 intermediate	learners	of	each
   2 information	from	the	detailed
   2 index	more	than	9
   2 index	less	than	or
   2 index	and	the	number
   2 in	total	there	are
   2 in	this	study	we
   2 in	the	study	of
   2 in	the	development	of
   2 in	the	depth-first	version
   2 in	the	breadth-first	version
   2 in	terms	of	clustering
   2 in	a	wbi	program
   2 in	a	uk	university
   2 identified	as	far	as
   2 hierarchical	maps	and	alphabetical
   2 hierarchical	map	and	alphabetical
   2 help	designers	develop	wbi
   2 have	a	tendency	to
   2 hand	et	al	2001
   2 groups	of	students	that
   2 from	the	alphabetical	index
   2 frequently	used	the	hierarchical
   2 for	the	details	this
   2 field-independent	and	field-dependent	students
   2 field-dependent	students	in	their
   2 field-dependent	learners	in	the
   2 far	as	classification	is
   2 examples	and	details	and
   2 et	al	2002	used
   2 et	al	2001	the
   2 et	al	2000	and
   2 equal	to	9	times
   2 employed	to	produce	groups
   2 effects	on	students	learning
   2 effects	of	cognitive	styles
   2 each	cognitive	style	group
   2 each	cluster	are	almost
   2 each	attribute	for	each
   2 different	cognitive	styles	in
   2 different	cognitive	style	groups
   2 develop	wbi	programs	that
   2 determine	whether	cognitive	styles
   2 designers	develop	wbi	programs
   2 design	of	this	wbi
   2 decision	tree	to	develop
   2 data	wang	et	al
   2 data	mining	data	mining
   2 conversely	field-dependent	students	preferred
   2 concerned	the	students	learning
   2 cognitive	styles	and	their
   2 clustering	the	k-means	algorithm
   2 clustering	and	classification	methods
   2 cluster	are	almost	balanced
   2 classified	as	field-independent	students
   2 classified	as	field-dependent	students
   2 classification	methods	in	terms
   2 classification	is	concerned	the
   2 chen	and	macredie	2002
   2 can	be	applied	to
   2 can	accommodate	the	preferences
   2 by	the	approval	or
   2 build	an	overall	picture
   2 browsed	many	more	pages
   2 browse	more	than	57
   2 browse	less	than	or
   2 both	field-independent	and	field-dependent
   2 both	clustering	and	classification
   2 balanced	cluster	0	n
   2 attributes	are	the	frequencies
   2 at	the	detailed	descriptions
   2 at	examples	and	details
   2 as	shown	in	this
   2 as	one	of	the
   2 as	field-independent	students	the
   2 as	far	as	classification
   2 as	classification	is	concerned
   2 are	the	frequencies	of
   2 are	presented	in	section
   2 are	more	capable	of
   2 are	classified	as	field-independent
   2 are	classified	as	field-dependent
   2 are	better	at	learning
   2 approval	or	disapproval	of
   2 applied	to	determine	whether
   2 and	visit	the	detailed
   2 and	their	learning	patterns
   2 and	the	alphabetical	index
   2 and	subsequently	the	corresponding
   2 and	looked	at	the
   2 and	classification	methods	in
   2 and	browse	less	than
   2 an	overall	picture	of
   2 among	the	three	clusters
   2 alphabetical	index	and	the
   2 affected	by	the	approval
   2 accessed	the	hierarchical	map
   2 accessed	the	alphabetical	index
   2 a	significant	positive	correlation
   2 a	number	of	studies
   2 a	mechanism	to	help
   2 9	times	and	visit
   2 9	times	and	browse
   2 6	times	are	classified
   2 57	pages	and	use
   2 45	pages	are	classified
   2 12	times	are	classified
   2 1	traditional	statistics	to
   2 0	05	n	65
   1 zhao	2003	this	approach
   1 yen	and	li	2003
   1 years	this	issue	has
   1 yang	2003	which	developed
   1 yamda	et	al	1995
   1 y	chen	and	xiaohui
   1 xiaohui	liu	brunel	university
   1 would	like	to	get
   1 would	have	similar	purchase
   1 would	be	valuable	to
   1 would	be	interesting	to
   1 would	be	highlighted	in
   1 world	wide	web	web
   1 workman	2004	chen	and
   1 work	to	analyze	student
   1 work	that	field-independent	individuals
   1 work	see	section	3
   1 work	on	cognitive	styles
   1 work	needs	to	be
   1 work	as	criteria	for
   1 work	as	a	guide
   1 work	are	identified	in
   1 words	this	study	emphasizes
   1 words	the	students	cognitive
   1 words	the	similarity	rules
   1 words	the	selected	topic
   1 words	the	learners	of
   1 words	the	information	needs
   1 words	such	detailed	description
   1 words	information	that	is
   1 words	differences	in	cognitive
   1 words	classification	can	be
   1 wiwattanacharoenchai	and	srivihok	2003
   1 without	going	through	a
   1 within-subjects	design	was	selected
   1 within	wbi	the	findings
   1 within	wbi	table	i
   1 within	wbi	field-independent	and
   1 within	the	wbi	program
   1 within	the	text	as
   1 within	each	cluster	is
   1 within	clusters	and	maximize
   1 within	a	whole	witkin
   1 within	a	webbased	instruction
   1 within	a	table	by
   1 with	whom	they	might
   1 with	which	rules	were
   1 with	which	eight	rules
   1 with	those	from	clustering
   1 with	their	different	requirements
   1 with	the	wbi	program
   1 with	the	statistical	package
   1 with	the	rapid	development
   1 with	the	program	were
   1 with	the	k-means	algorithm
   1 with	the	extra	guidance
   1 with	the	entire	set
   1 with	the	division	of
   1 with	the	distribution	of
   1 with	the	closest	centroid
   1 with	the	broadest	application
   1 with	that	of	previous
   1 with	statistical	analyses	data
   1 with	similar	features	in
   1 with	self	organization	maps
   1 with	rich	links	within
   1 with	regard	to	methodology
   1 with	practical	cases	to
   1 with	practical	cases	therefore
   1 with	online	learning	clustering
   1 with	multiple	media	such
   1 with	means	to	locate
   1 with	leaves	or	branches
   1 with	intermediate	students	and
   1 with	human	content	are
   1 with	field-independent	students	who
   1 with	field-dependent	students	with
   1 with	field-dependent	students	three
   1 with	field	independence	the
   1 with	examples	for	that
   1 with	concrete	examples	in
   1 with	choices	for	menu
   1 with	binary	trees	where
   1 with	anova	a	possible
   1 with	an	integrated	approach
   1 with	a	value	of
   1 with	a	summary	of
   1 with	a	significant	positive
   1 with	a	pop-up	window
   1 with	a	larger	sample
   1 with	a	data	mining
   1 wish	to	learn	to
   1 windows	release	10	0
   1 windows	can	be	switched
   1 window	which	is	a
   1 window	to	provide	additional
   1 window	for	field-independent	students
   1 window	for	field-dependent	students
   1 window	can	be	used
   1 window	at	once	milunovich
   1 will	emphasize	how	similar
   1 will	behave	for	example
   1 will	be	necessary	4
   1 will	apply	maximally	to
   1 wildemuth	et	al	1998
   1 widely	used	to	analyze
   1 widely	studied	dimensions	with
   1 wide	web	web	contains
   1 whose	mean	is	closest
   1 whose	features	can	reflect
   1 whose	classes	are	known
   1 whom	they	might	share
   1 wholist/analytic	wa	dimension	noting
   1 whole	witkin	et	al
   1 whole	and	process	information
   1 who	would	like	to
   1 who	visit	the	examples
   1 who	uses	a	more
   1 who	use	an	internal
   1 who	rely	more	on
   1 who	rarely	used	the
   1 who	have	far	more
   1 who	have	acquired	the
   1 who	have	a	tendency
   1 who	had	the	basic
   1 who	frequently	used	the
   1 who	either	frequently	used
   1 who	combined	the	k-means
   1 while	unrelated	information	is
   1 while	their	results	are
   1 while	the	seventh	and
   1 while	the	other	column
   1 while	the	latter	is
   1 while	field-independent	students	frequently
   1 while	field-dependent	students	tend
   1 while	cluster	2	has
   1 which	was	developed	using
   1 which	was	designed	to
   1 which	used	both	clustering
   1 which	the	learners	frequently
   1 which	rules	were	produced
   1 which	provides	users	with
   1 which	options	they	should
   1 which	not	only	shows
   1 which	learners	often	accessed
   1 which	lacks	practical	instruction
   1 which	is	data	mining
   1 which	is	appropriate	to
   1 which	is	a	secondary
   1 which	in	turn	might
   1 which	in	turn	may
   1 which	have	great	potential
   1 which	have	been	increasingly
   1 which	examined	the	effects
   1 which	eight	rules	are
   1 which	developed	a	learning
   1 which	correspond	to	partitioned
   1 which	combination	fits	the
   1 which	can	contribute	to
   1 which	are	very	detailed
   1 which	are	presented	here
   1 which	are	discussed	in
   1 which	applies	a	graphical
   1 which	allows	multiple	documents
   1 which	all	damaged	links
   1 whether	these	attributes	are
   1 whether	there	was	a
   1 whether	the	decision	tree
   1 whether	such	wbi	programs
   1 whether	similar	results	can
   1 whether	or	not	the
   1 whether	further	preparation	will
   1 whether	field-independent	and	field-dependent
   1 whether	cognitive	styles	significantly
   1 whether	cognitive	styles	had
   1 whether	cognitive	style	was
   1 whether	cognitive	style	is
   1 whereas	those	from	classification
   1 whereas	the	learners	of
   1 whereas	field-dependent	students	were
   1 whereas	field-dependent	people	have
   1 where	we	discuss	the
   1 where	learners	are	grouped
   1 where	each	split	produces
   1 when	there	is	no
   1 when	planning	to	improve
   1 when	one	has	an
   1 when	learners	are	given
   1 when	analyzing	the	wa
   1 when	analyses	are	already
   1 when	all	the	datapoints
   1 when	a	split	is
   1 what	riding	and	sadler-smith
   1 what	might	be	obtained
   1 what	dominant	learning	patterns
   1 what	are	the	effects
   1 were	two	types	of
   1 were	traced	and	removed
   1 were	to	minimize	variability
   1 were	the	eight	attributes
   1 were	superior	in	the
   1 were	selected	to	participate
   1 were	requested	to	fill
   1 were	recorded	in	a
   1 were	proposed	to	accommodate
   1 were	produced	the	percentage
   1 were	produced	for	the
   1 were	mainly	chosen	by
   1 were	informed	that	they
   1 were	inexperienced	in	the
   1 were	in	the	form
   1 were	identified	as	far
   1 were	given	control	of
   1 were	given	a	task
   1 were	gained	from	the
   1 were	from	the	right
   1 were	free	to	choose
   1 were	found	to	be
   1 were	found	in	these
   1 were	first	proposed	by
   1 were	considered	in	the
   1 were	based	on	these
   1 were	available	in	the
   1 were	asked	to	take
   1 were	applied	to	determine
   1 were	analyzed	using	traditional
   1 were	analyzed	using	decision
   1 were	also	used	for
   1 were	also	taken	into
   1 were	also	examined	none
   1 were	acquired	from	the
   1 went	through	a	preprocessing
   1 weller	et	al	1994
   1 well-known	classification	algorithm	and
   1 well	balanced	cluster	0
   1 well	as	statistics	on
   1 well	as	a	variety
   1 well	a	learner	is
   1 webbased	instruction	program	over
   1 web-based	instruction	wbi	programs
   1 web-based	instruction	wbi	has
   1 web-based	instruction	programs	a
   1 web-based	instruction	a	cognitive
   1 web-based	applications	such	as
   1 web-based	applications	can	promote
   1 web	yen	and	li
   1 web	web	contains	an
   1 web	usage	data	the
   1 web	usage	data	because
   1 web	usage	data	another
   1 web	sites	consequently	their
   1 web	site	structure	were
   1 web	page	metadata	in
   1 web	logs	of	various
   1 web	decision	trees	can
   1 web	contains	an	enormous
   1 web	access	logs	and
   1 web	4	4	summary
   1 we	ran	the	algorithm
   1 we	have	used	the
   1 we	found	that	there
   1 we	discuss	the	effects
   1 we	deal	with	binary
   1 we	conducted	an	experiment
   1 we	choose	to	use
   1 we	can	obtain	a
   1 we	briefly	highlight	previous
   1 wbi	the	findings	are
   1 wbi	table	i	presents
   1 wbi	programs	which	have
   1 wbi	programs	the	contribution
   1 wbi	programs	navigation	tools
   1 wbi	programs	employ	hypermedia
   1 wbi	programs	by	providing
   1 wbi	programs	are	used
   1 wbi	programs	and	the
   1 wbi	programs	and	other
   1 wbi	programs	and	developed
   1 wbi	programs	among	various
   1 wbi	programs	1	introduction
   1 wbi	program	with	an
   1 wbi	program	was	underpinned
   1 wbi	program	was	created
   1 wbi	program	to	teach
   1 wbi	program	they	were
   1 wbi	program	they	are
   1 wbi	program	the	second
   1 wbi	program	the	design
   1 wbi	program	subsequently	all
   1 wbi	program	provided	the
   1 wbi	program	in	particular
   1 wbi	program	for	a
   1 wbi	program	and	were
   1 wbi	program	and	their
   1 wbi	in	total	there
   1 wbi	has	become	increasingly
   1 wbi	followed	by	an
   1 wbi	field-independent	and	field-dependent
   1 wbi	creates	learning	opportunities
   1 wbi	and	whether	cognitive
   1 wbi	and	present	related
   1 ways	to	address	their
   1 ways	field-dependent	students	who
   1 way	the	learners	were
   1 way	participants	were	free
   1 was	used	to	test
   1 was	used	to	find
   1 was	used	including	main
   1 was	used	in	the
   1 was	underpinned	by	considerations
   1 was	to	select	the
   1 was	the	participants	cognitive
   1 was	the	only	one
   1 was	the	level	of
   1 was	significant	in	pearson
   1 was	selected	for	experiment
   1 was	only	one	relatively
   1 was	obtained	with	a
   1 was	no	significant	difference
   1 was	no	significance	based
   1 was	needed	to	compare
   1 was	issued	to	students
   1 was	generated	for	characterizing
   1 was	further	split	into
   1 was	employed	to	produce
   1 was	done	they	were
   1 was	divided	into	six
   1 was	developed	using	the
   1 was	designed	to	identify
   1 was	created	containing	materials
   1 was	conducted	to	compare
   1 was	conducted	by	chaimeun
   1 was	applied	to	find
   1 was	applied	in	the
   1 was	adopted	for	the
   1 was	a	significant	relationship
   1 was	a	clear	distinction
   1 warehouses	or	other	information
   1 wang	et	al	2004
   1 wang	et	al	2002
   1 wang	and	dwyer	2004
   1 wang	2000	for	these
   1 wa	scores	of	1
   1 wa	scores	near	a
   1 wa	scores	below	1
   1 wa	scores	and	the
   1 wa	score	of	each
   1 wa	score	and	each
   1 wa	dimension	noting	that
   1 vs	passive	in	this
   1 vs	global	a	major
   1 vs	external	the	results
   1 voluntary	basis	the	experiment
   1 vol	15	no	1
   1 visualized	versus	verbalized	right-brained
   1 visualize	the	huge	amount
   1 visual	material	that	provides
   1 visits	with	a	significant
   1 visits	the	students	made
   1 visits	the	number	of
   1 visits	however	the	number
   1 visits	and	seldom	accessed
   1 visited	some	pages	made
   1 visited	pages	respectively	describing
   1 visited	many	pages	made
   1 visited	fewer	pages	field-independent
   1 visited	few	pages	made
   1 visit	the	examples	more
   1 visible	even	if	the
   1 visible	and	it	corresponds
   1 viii	the	common	relevant
   1 vii	where	learners	are
   1 viewed	b	a	control
   1 view	soloway	et	al
   1 video	and	animation	masiello
   1 vi	presents	the	mean
   1 very	task	oriented	witkin
   1 very	detailed	but	they
   1 versus	verbalized	right-brained	versus
   1 versus	left-brained	global-holistic	versus
   1 versus	focused-detailed	or	field-dependent
   1 versus	field-independent	among	these
   1 version	performed	better	than
   1 version	outperformed	those	in
   1 version	field-independent	students	had
   1 version	conversely	field-independent	students
   1 versatility	in	the	development
   1 versatile	repertoire	of	learning
   1 versatile	learners	who	have
   1 verify	prior	hypotheses	or
   1 verify	a	priori	hypothesis
   1 verbalized	right-brained	versus	left-brained
   1 vein	this	study	investigates
   1 vectors	of	the	points
   1 vector	of	each	cluster
   1 vector	machines	it	would
   1 vector	machine	and	selforganization
   1 various	internet	banking	web
   1 various	exercises	related	to
   1 various	dimensions	of	individual
   1 various	combinations	of	the
   1 various	attribute	combinations	and
   1 variety	of	navigation	tools
   1 variance	anova	was	used
   1 variables	were	the	eight
   1 variables	stephen	and	hornby
   1 variables	because	it	is
   1 variable	was	the	participants
   1 variable	are	also	presented
   1 variability	within	clusters	and
   1 variability	between	clusters	in
   1 values	of	these	attributes
   1 values	of	one	or
   1 values	for	the	seed
   1 values	and	standard	deviations
   1 value	of	the	decision
   1 value	of	k	3
   1 valuable	to	see	whether
   1 valuable	patterns	hidden	in
   1 valuable	information	from	large
   1 v	the	results	appeared
   1 utilizing	both	traditional	statistical
   1 uthurusamy	1996	is	an
   1 using	traditional	statistical	and
   1 using	these	methods	as
   1 using	the	tukey	test
   1 using	the	results	presented
   1 using	the	main	menu
   1 using	the	k-means	algorithm
   1 using	the	index	conversely
   1 using	the	alphabetical	index
   1 using	such	an	integrated
   1 using	overview	and	the
   1 using	other	clustering	or
   1 using	main	menu	hierarchical
   1 using	frames	one	frame
   1 using	frames	frame	uses
   1 using	each	learning	pattern
   1 using	decision	trees	with
   1 using	computers	the	internet
   1 using	computers	f	3
   1 using	clustering	algorithms	to
   1 using	advanced	intelligent	technologies
   1 using	a	table	all
   1 using	a	decision	tree
   1 uses	these	as	new
   1 uses	the	data	itself
   1 uses	an	underlying	grid
   1 uses	a	more	global
   1 users	with	means	to
   1 users	of	all	other
   1 users	in	that	clusters
   1 user	the	goals	of
   1 user	s	typical	mode
   1 user	s	interests	for
   1 user	s	information	processing
   1 user	of	the	same
   1 user	is	to	user
   1 useful	when	one	has
   1 useful	tool	for	analyzing
   1 useful	they	only	represent
   1 useful	information	is	based
   1 useful	information	from	raw
   1 useful	cues	on	their
   1 used	two	methods	that
   1 used	to	verify	prior
   1 used	to	test	for
   1 used	to	simplify	the
   1 used	to	show	additional
   1 used	to	present	the
   1 used	to	improve	the
   1 used	to	generate	the
   1 used	to	find	whether
   1 used	to	find	out
   1 used	to	discover	rules
   1 used	to	conduct	the
   1 used	to	classify	new
   1 used	to	characterize	the
   1 used	to	analyze	web
   1 used	to	achieve	different
   1 used	these	navigation	tools
   1 used	the	k-means	algorithm
   1 used	the	c4	5
   1 used	the	alphabetical	index
   1 used	methods	for	classification
   1 used	linear	learning	conversely
   1 used	including	main	menu
   1 used	in	this	study
   1 used	in	the	study
