  76 reproducibility	probability
  64 of	the
  64 number	of
  37 in	the
  34 for	the
  33 sample	size
  30 to	the
  30 et	al
  28 such	as
  28 probability	estimates
  26 as	the
  25 the	same
  24 sample	sizes
  23 the	number
  22 pilot	sample
  21 the	semiautomatic
  21 the	manual
  21 query	sample
  21 manual	evaluation
  20 to	ensure
  20 of	a
  20 manual	judgments
  20 from	the
  20 false	alarms
  19 on	the
  19 in	section
  19 automatic	evaluation
  18 to	be
  18 high	reproducibility
  18 correct	conclusions
  18 based	on
  17 the	query
  17 pilot	samples
  17 in	figure
  17 from	a
  17 a	large
  16 web	search
  16 using	the
  16 of	engines
  15 information	retrieval
  15 in	our
  14 the	pilot
  14 set	of
  14 query	population
  14 probability	of
  14 of	queries
  14 of	false
  14 896	queries
  13 reliability	of
  13 of	manual
  13 manually	evaluated
  13 can	be
  13 2	2
  12 to	determine
  12 section	3
  12 sample	of
  12 of	conclusions
  12 it	is
  12 estimates	from
  12 error	rate
  12 conclusions	from
  12 as	a
  12 an	evaluation
  11 with	the
  11 to	reduce
  11 this	is
  11 the	reliability
  11 than	the
  11 search	engines
  11 reliable	conclusions
  11 of	these
  11 large	number
  11 jensen	2006
  11 is	a
  11 evaluated	queries
  11 do	not
  11 conclusions	with
  10 utility	of
  10 that	are
  10 semiautomatic	methods
  10 samples	of
  10 query	samples
  10 of	reproducibility
  10 of	our
  10 of	manually
  10 null	hypothesis
  10 large	enough
  10 evaluation	of
  10 estimate	of
  10 by	the
  10 bootstrap	sample
  10 and	the
   9 we	are
   9 true	power
   9 there	is
   9 the	sample
   9 the	best
   9 that	the
   9 semiautomatic	framework
   9 required	to
   9 navigational	evaluation
   9 manually	judged
   9 judged	queries
   9 is	to
   9 hypothesis	tests
   9 from	an
   9 each	of
   9 does	not
   9 determine	the
   9 all	896
   9 3	3
   8 with	a
   8 the	true
   8 the	top
   8 the	navigational
   8 the	correct
   8 the	bootstrap
   8 test	collections
   8 size	of
   8 semiautomatic	method
   8 section	2
   8 results	of
   8 reduce	the
   8 rather	than
   8 pseudo-relevance	judgments
   8 of	size
   8 of	reliability
   8 must	be
   8 is	not
   8 in	a
   8 for	each
   8 evaluation	techniques
   8 evaluation	in
   8 e	b
   8 dynamic	environments
   8 differences	in
   8 compared	to
   8 beitzel	et
   8 automatic	techniques
   8 automatic	judgments
   8 are	not
   8 a	given
   7 wilcoxon	test
   7 we	propose
   7 we	leverage
   7 top	ten
   7 to	compare
   7 to	a
   7 the	utility
   7 the	size
   7 the	null
   7 the	following
   7 ten	results
   7 system	pooling
   7 retrieval	evaluation
   7 queries	and
   7 over	time
   7 over	the
   7 over	a
   7 our	manual
   7 on	their
   7 of	ten
   7 manual	and
   7 for	example
   7 evaluation	we
   7 evaluation	is
   7 evaluation	effort
   7 evaluation	and
   7 e	a
   7 due	to
   7 cost	of
   7 conclusions	that
   7 conclusions	drawn
   7 changes	in
   7 as	those
   7 appendix	a
   7 and	semiautomatic
   7 al	2005
   7 a	single
   7 a	particular
   6 us	to
   6 to	estimate
   6 those	that
   6 those	from
   6 they	are
   6 the	wilcoxon
   6 the	web
   6 the	problem
   6 the	error
   6 the	cost
   6 ten	web
   6 shao	and
   6 semiautomatic	technique
   6 ratio	of
   6 queries	for
   6 q	man
   6 purely	automatic
   6 of	this
   6 of	errors
   6 numbers	of
   6 needed	to
   6 methods	of
   6 method	of
   6 levels	of
   6 less	than
   6 is	the
   6 in	this
   6 in	progress
   6 however	the
   6 have	been
   6 for	a
   6 evaluation	to
   6 evaluation	strategies
   6 enough	to
   6 engine	b
   6 distribution	of
   6 difficult	to
   6 could	be
   6 compare	the
   6 bootstrap	estimate
   6 average	precision
   6 and	chow
   6 al	2006
   6 a	whole
   6 a	small
   5 with	those
   5 with	manual
   5 with	larger
   5 which	the
   5 we	use
   5 we	review
   5 we	performed
   5 we	have
   5 we	focus
   5 we	employ
   5 used	to
   5 use	of
   5 to	our
   5 to	make
   5 to	find
   5 those	of
   5 this	framework
   5 therefore	we
   5 the	trec
   5 the	set
   5 the	reproducibility
   5 the	relative
   5 the	ratio
   5 the	range
   5 the	most
   5 the	minimum
   5 the	entire
   5 the	conclusions
   5 the	average
   5 that	of
   5 small	number
   5 small	manual
   5 significantly	outperforms
   5 semiautomatic	filtering
   5 search	evaluation
   5 sanderson	and
   5 results	from
   5 result	from
   5 relevant	documents
   5 range	of
   5 queries	we
   5 queries	to
   5 queries	in
   5 queries	are
   5 queries	alone
   5 problem	of
   5 predicting	conclusions
   5 power	of
   5 population	as
   5 pairwise	conclusion
   5 pair	of
   5 p	10
   5 over	896
   5 our	entire
   5 only	the
   5 of	semiautomatic
   5 of	search
   5 of	estimating
   5 of	engine
   5 of	correct
   5 not	address
   5 next	we
   5 methods	for
   5 manual	sample
   5 manual	ones
   5 likely	to
   5 level	of
   5 judgments	with
   5 judgments	to
   5 in	which
   5 in	trec
   5 in	each
   5 in	dynamic
   5 hypothesis	test
   5 generalize	to
   5 framework	we
   5 figure	3
   5 example	of
   5 evaluation	technique
   5 errant	conclusions
   5 engines	over
   5 engine	a
   5 empirical	meta-evaluation
   5 each	query
   5 each	engine
   5 drawn	from
   5 difference	in
   5 detailed	in
   5 correspond	to
   5 conclusions	in
   5 conclusions	are
   5 conclude	that
   5 both	the
   5 because	the
   5 average	scores
   5 at	least
   5 at	a
   5 as	an
   5 approximately	half
   5 and	so
   5 address	the
   5 about	the
   5 a	semiautomatic
   5 a	larger
   5 a	e
   5 4	2
   5 300	queries
   5 3	we
   5 2	3
   5 2	1
   5 0	10
   4 zobel	2005
   4 work	in
   4 with	high
   4 with	automatic
   4 we	provide
   4 we	compare
   4 varying	pilot
   4 using	all
   4 using	a
   4 too	many
   4 to	reliably
   4 to	information
   4 this	analysis
   4 the	two
   4 the	small
   4 the	purely
   4 the	primary
   4 the	maximum
   4 the	large
   4 the	evaluation
   4 the	effectiveness
   4 the	automatic
   4 that	reduce
   4 that	it
   4 that	high
   4 that	do
   4 than	those
   4 test	with
   4 techniques	are
   4 technique	is
   4 table	iii
   4 such	an
   4 so	on
   4 size	to
   4 simply	using
   4 significant	differences
   4 shows	that
   4 several	methods
   4 sets	of
   4 serves	as
   4 semiautomatic	prediction
   4 semiautomatic	evaluation
   4 search	services
   4 sample	to
   4 reusable	test
   4 repetition	of
   4 reliable	evaluation
   4 reduce	manual
   4 ratios	of
   4 queries	required
   4 provided	in
   4 propose	a
   4 probability	to
   4 prior	work
   4 precision	at
   4 popular	queries
   4 pairwise	conclusions
   4 our	semiautomatic
   4 our	own
   4 our	experimentation
   4 our	environment
   4 our	analysis
   4 only	on
   4 only	a
   4 on	average
   4 of	tied
   4 of	them
   4 of	such
   4 of	relevance
   4 of	reducing
   4 of	misses
   4 of	finding
   4 of	evaluation
   4 of	error
   4 of	each
   4 of	difference
   4 of	all
   4 nonparametric	bootstrap
   4 necessary	to
   4 manual	method
   4 larger	than
   4 judgments	from
   4 is	also
   4 into	conclusions
   4 intelligent	evaluation
   4 insight	into
   4 in	table
   4 in	jensen
   4 in	average
   4 in	appendix
   4 hypothesis	testing
   4 however	we
   4 half	of
   4 goal	of
   4 from	one
   4 from	manual
   4 form	of
   4 for	any
   4 first	we
   4 find	that
   4 false	alarm
   4 every	engine
   4 evaluations	over
   4 evaluations	are
   4 evaluation	over
   4 evaluate	the
   4 estimated	power
   4 estimate	reproducibility
   4 entire	sample
   4 ensure	that
   4 enough	sample
   4 engine	rankings
   4 effort	by
   4 effectiveness	of
   4 document	collection
   4 discussed	in
   4 different	query
   4 depends	on
   4 de	martini
   4 confidence	intervals
   4 conclusions	of
   4 conclusions	by
   4 comparing	evaluations
   4 by	half
   4 best	page
   4 because	they
   4 be	predicted
   4 be	found
   4 average	number
   4 available	in
   4 as	with
   4 as	we
   4 as	our
   4 as	in
   4 are	often
   4 are	likely
   4 are	available
   4 and	zobel
   4 and	a
   4 alone	we
   4 able	to
   4 a	reliable
   4 a	query
   4 a	pilot
   4 a	manual
   4 a	2
   4 2	4
   3 would	be
   3 world	wide
   3 without	system
   3 with	very
   3 with	samples
   3 with	over
   3 will	be
   3 wide	web
   3 which	we
   3 where	the
   3 when	using
