  19 the	case	of
  18 in	the	case
  12 word	frequency	lists
  12 the	effectiveness	of
  12 a	target	language
  12 a	source	word
  11 the	target	language
  11 the	number	of
  11 et	al	2003
  11 by	means	of
  10 the	frequency	of
   9 target	language	word
   9 spelling	variants	and
   9 cross-lingual	spelling	variants
   8 the	use	of
   8 the	identification	of
   8 spanish-english	and	finnish-english
   8 spanish	and	finnish
   7 used	in	the
   7 translated	by	trt
   7 the	source	word
   7 the	source	language
   7 source	language	word
   7 recall	and	precision
   7 pirkola	et	al
   7 of	source	words
   7 in	pirkola	et
   7 from	the	web
   6 web	document	frequencies
   6 translation	recall	and
   6 the	word	forms
   6 the	contribution	of
   6 test	word	sets
   6 source	word	is
   6 source	and	target
   6 in	this	study
   6 for	both	language
   6 both	language	pairs
   6 based	on	the
   6 a	source	language
   5 words	were	translated
   5 words	in	the
   5 with	respect	to
   5 used	in	trt
   5 tw	in	t
   5 trt	s	l-
   5 translation	equivalents	of
   5 the	transformation	rules
   5 the	rule	generation
   5 the	fite	technique
   5 source	language	words
   5 s	l-	t
   5 precision	and	indication
   5 oov	words	were
   5 of	direct	translation
   5 of	a	source
   5 native	source	language
   5 mined	from	the
   5 means	of	trt
   5 let	sw	be
   5 l-	t	l
   5 keskustalo	et	al
   5 is	defined	as
   5 into	english	using
   5 in	the	target
   5 in	comparison	to
   5 if	there	are
   5 defined	as	the
   5 clir	augmented	with
   5 can	be	seen
   5 as	well	as
   5 as	the	equivalent
   5 as	given	by
   5 and	indication	precision
   4 word	forms	obtained
   4 word	forms	in
   4 with	web	document
   4 where	oov	keys
   4 were	translated	by
   4 web	as	a
   4 variants	and	native
   4 trt	s	translation
   4 translated	into	english
   4 training	and	test
   4 to	each	other
   4 the	web	as
   4 the	translation	set
   4 the	translation	recall
   4 the	translation	equivalents
   4 the	target	word
   4 the	results	are
   4 the	proportion	of
   4 the	frequency	lists
   4 the	first	component
   4 the	correct	equivalent
   4 the	basis	of
   4 target	word	form
   4 target	language	words
   4 t	l	sw
   4 source	words	for
   4 s	translation	set
   4 respect	to	the
   4 refers	to	the
   4 oov	word	methods
   4 of	trt	and
   4 of	translation	equivalents
   4 of	the	web
   4 of	the	target
   4 of	the	fite
   4 of	spelling	variants
   4 of	fite-trt	in
   4 not	able	to
   4 lists	mined	from
   4 in	the	translation
   4 in	the	source
   4 in	the	fite-trt
   4 in	the	experiments
   4 in	section	4
   4 if	the	first
   4 identification	of	translation
   4 high	translation	recall
   4 frequency	of	the
   4 frequency	lists	the
   4 frequency	lists	mined
   4 et	al	2005
   4 equivalents	of	source
   4 equivalents	among	all
   4 effectiveness	of	fite-trt
   4 due	to	the
   4 described	in	section
   4 dependent	normalizing	factor
   4 corpus	dependent	normalizing
   4 case	of	web
   4 by	the	trt
   4 biological	and	medical
   4 be	a	source
   4 augmented	with	fite-trt
   4 and	word	frequency
   4 and	target	language
   4 and	precision	and
   4 and	len	sw
   4 and	frequency	2
   4 a	list	of
   4 a	corpus	dependent
   4 0	and	frequency
   3 words	that	cannot
   3 words	in	a
   3 words	for	which
   3 word	in	the
   3 word	frequency	list
   3 word	forms	this
   3 word	form	is
   3 word	class	information
   3 when	most	of
   3 what	is	the
   3 were	translated	into
   3 web	and	word
   3 we	denote	the
   3 was	not	able
   3 was	evaluated	using
   3 using	the	measures
   3 trtspa-	eng	biosintesis
   3 trt-frank	tws	t
   3 trt-frank	trtspa-	eng
   3 trt	and	skipgram
   3 translation	recall	is
   3 translation	equivalents	fite
   3 translated	by	means
   3 toivonen	et	al
   3 to	the	recall
   3 to	be	untranslatable
   3 thresholds	of	cf
   3 the	words	in
   3 the	value	true
   3 the	url	file
   3 the	trt	program
   3 the	translation	sets
   3 the	thresholds	of
   3 the	spanish	word
   3 the	source	words
   3 the	second	word
   3 the	results	showed
   3 the	oov	words
   3 the	oov	keys
   3 the	measures	of
   3 the	length	of
   3 the	length	criterion
   3 the	highest	df
   3 the	fite-trt	process
   3 the	first	word
   3 the	equivalents	of
   3 the	document	frequency
   3 the	dictionary	data
   3 the	criteria	1
   3 the	confidence	factor
   3 the	application	of
   3 the	algorithm	find-equivalent
   3 that	cannot	be
   3 tested	by	the
   3 t	let	be
   3 t	as	given
   3 sw	in	s
   3 sw	be	some
   3 sw	be	a
   3 spelling	variants	are
   3 source	words	were
   3 source	words	that
   3 source	language	collection
   3 source	language	and
   3 skipgram	fuzzy	matching
   3 selected	as	the
   3 second	word	form
   3 s	frequency	source
   3 rules	available	for
   3 results	showed	that
   3 recall	in	the
   3 precision	at	20
   3 on	the	basis
   3 of	web	document
   3 of	sw	in
   3 of	frequency	lists
   3 of	fite-trt	was
