   9 i	don	t	know
   8 with	msw	personal	than
   8 the	menus	and	toolbars
   8 personal	than	with	msw2k
   8 msw	personal	than	with
   6 to	the	full	interface
   6 the	adaptive	interface	of
   6 adaptive	interface	of	msw2k
   5 the	q1	vs	q6
   5 the	personal	interface	is
   5 q1	vs	q6	comparison
   5 in	their	personal	interface
   4 with	the	new	design
   4 while	using	msw	personal
   4 to	the	personal	interface
   4 to	the	adaptive	interface
   4 the	feature-keen	participants	did
   4 the	analysis	suggests	that
   4 that	msw	personal	was
   4 summary	the	analysis	suggests
   4 sense	of	control	with
   4 satisfied	than	the	feature-keen
   4 personalization	behavior	with	the
   4 mcgrenere	and	moore	2000
   4 in	the	debriefing	interview
   4 feature-shy	and	feature-keen	participants
   4 feature-keen	participants	did	not
   4 f	1	18	4
   4 control	with	msw	personal
   4 by	the	fact	that
   4 behavior	with	the	new
   4 and	i	don	t
   4 all	of	the	time
   3 who	did	not	give
   3 which	implements	a	single
   3 which	functions	were	added
   3 were	aware	of	the
   3 was	easy	to	use
   3 use	intuitive	and	flexible
   3 two	groups	of	participants
   3 took	the	approach	of
   3 to/from	my	personal	interface
   3 to	use	intuitive	and
   3 to	their	personal	interfaces
   3 to	compare	our	design
   3 to	capture	the	participant
   3 to	both	the	adaptive
   3 to	be	able	to
   3 time	in	their	personal
   3 through	the	4	weeks
   3 their	frequently	used	functions
   3 their	desired	approach	to
   3 the	two	groups	of
   3 the	personal	interface	the
   3 the	participants	personalization	behavior
   3 the	participant	s	experience
   3 the	order	in	which
   3 the	multiple-interfaces	design	of
   3 the	majority	of	users
   3 the	majority	of	the
   3 the	full	interface	was
   3 the	frequency	with	which
   3 the	final	debriefing	interview
   3 the	feature-shy	and	the
   3 the	feature-keen	participants	however
   3 the	feature-keen	and	the
   3 the	end	of	the
   3 the	contents	of	the
   3 the	approach	of	adding
   3 the	adoption	of	different
   3 the	adaptive	telephone	directory
   3 the	adaptive	menus	in
   3 the	13	participants	who
   3 that	the	personal	interface
   3 switch	to	the	full
   3 supported	partially	feature-shy	participants
   3 strategies	as	compared	to
   3 significant	main	effect	on
   3 significant	differences	between	the
   3 s	level	of	expertise
   3 results	in	better	navigation
   3 personalizing	mechanism	easy	to
   3 personalization	strategies	as	compared
   3 participants	who	did	not
   3 participants	personalization	behavior	with
   3 participants	perceived	ability	to
   3 participants	experienced	an	increase
   3 our	design	to	the
   3 or	more	of	their
   3 on	the	user	s
   3 of	the	two	interfaces
   3 of	the	personalizing	mechanism
   3 of	the	menus	and
   3 of	different	personalization	strategies
   3 of	control	with	msw
   3 navigation	and	learnability	and
   3 my	personal	interface	is
   3 msw	personal	to	the
   3 mechanism	for	adding/deleting	functions
   3 mechanism	easy	to	use
   3 less	satisfied	than	the
   3 learnability	and	allows	for
   3 it	where	is	it
   3 it	was	easy	to
   3 is	easy	to	use
   3 interface	in	order	to
   3 intended	to	capture	the
   3 in	the	short	menu
   3 in	the	personal	interface
   3 in	the	menus	and
   3 in	the	final	debriefing
   3 in	control	of	the
   3 in	better	navigation	and
   3 implements	a	single	strategy
   3 if	i	could	have
   3 i	don	t	think
   3 hypothesis	supported	partially	feature-shy
   3 having	the	full	interface
   3 had	a	borderline	significant
   3 functions	to/from	my	personal
   3 for	the	feature-keen	participants
   3 for	the	adoption	of
   3 for	each	of	the
   3 for	adding/deleting	functions	to/from
   3 feature-shy	participants	experienced	an
   3 feature-shy	and	the	feature-keen
   3 feature-keen	participants	however	the
   3 experienced	an	increase	in
   3 easy	to	use	intuitive
   3 don	t	know	why
   3 different	personalization	strategies	as
   3 differences	with	respect	to
   3 differences	between	the	two
   3 differences	between	the	feature-shy
