	a	brief
a	brief	history
brief	history	prehistoric
history	prehistoric	man
prehistoric	man	in
man	in	asia
in	asia	minor
asia	minor	now
minor	now	modern
now	modern	turkey
modern	turkey	or
turkey	or	greece
or	greece	could
greece	could	look
could	look	out
look	out	across
out	across	the
across	the	aegean
the	aegean	toward
aegean	toward	the
toward	the	horizon
the	horizon	and
horizon	and	see
and	see	the
see	the	faint
the	faint	silhouette
faint	silhouette	of
silhouette	of	land
of	land	their
land	their	curiosity
their	curiosity	pushed
curiosity	pushed	them
pushed	them	to
them	to	build
to	build	vessels
build	vessels	that
vessels	that	were
that	were	strong
were	strong	enough
strong	enough	to
enough	to	ford
to	ford	the
ford	the	open
the	open	seas
open	seas	and
seas	and	reach
and	reach	these
reach	these	islands
these	islands	marking
islands	marking	the
marking	the	start
the	start	of
start	of	the
of	the	long
the	long	legacy
long	legacy	of
legacy	of	mediterranean
of	mediterranean	seafaring
mediterranean	seafaring	around
seafaring	around	7000
around	7000	b
7000	b	c
b	c	the
c	the	phoenicians
the	phoenicians	set
phoenicians	set	out
set	out	from
out	from	what
from	what	is
what	is	now
is	now	iran
now	iran	to
iran	to	explore
to	explore	their
explore	their	surroundings
their	surroundings	they
surroundings	they	eventually
they	eventually	reached
eventually	reached	the
reached	the	islands
the	islands	and
islands	and	founded
and	founded	colonies
founded	colonies	on
colonies	on	the
on	the	islands
the	islands	in
islands	in	the
in	the	northernmost
the	northernmost	part
northernmost	part	of
part	of	the
of	the	aegean
the	aegean	sea
aegean	sea	an
sea	an	important
an	important	early
important	early	material
early	material	obsidian
material	obsidian	was
obsidian	was	discovered
was	discovered	on
discovered	on	the
on	the	island
the	island	of
island	of	milos
of	milos	obsidian
milos	obsidian	is
obsidian	is	a
is	a	hard
a	hard	vitreous
hard	vitreous	volcanic
vitreous	volcanic	rock
volcanic	rock	which
rock	which	could
which	could	be
could	be	fashioned
be	fashioned	into
fashioned	into	tools
into	tools	for
tools	for	cutting
for	cutting	and
cutting	and	stabbing
and	stabbing	the
stabbing	the	high
the	high	quality
high	quality	of
quality	of	the
of	the	seam
the	seam	on
seam	on	milos
on	milos	ensured
milos	ensured	that
ensured	that	the
that	the	area
the	area	remained
area	remained	popular
remained	popular	with
popular	with	early
with	early	travelers
early	travelers	the
travelers	the	basic
the	basic	elements
basic	elements	of
elements	of	life
of	life	in
life	in	the
in	the	aegean
the	aegean	began
aegean	began	to
began	to	come
to	come	together
come	together	as
together	as	early
as	early	as
early	as	5000
as	5000	b
5000	b	c
b	c	and
c	and	were
and	were	already
were	already	in
already	in	place
in	place	by
place	by	the
by	the	late
the	late	bronze
late	bronze	age
bronze	age	c
age	c	2700
c	2700	b
2700	b	c
b	c	the
c	the	major
the	major	changes
major	changes	were
changes	were	not
were	not	to
not	to	daily
to	daily	tasks
daily	tasks	and
tasks	and	routines
and	routines	but
routines	but	to
but	to	the
to	the	political
the	political	power
political	power	base
power	base	which
base	which	changed
which	changed	regularly
changed	regularly	and
regularly	and	not
and	not	necessarily
not	necessarily	peacefully
necessarily	peacefully	throughout
peacefully	throughout	the
throughout	the	ages
the	ages	cycladic
ages	cycladic	culture
cycladic	culture	at
culture	at	around
at	around	3500
around	3500	b
3500	b	c
b	c	a
c	a	sophisticated
a	sophisticated	culture
sophisticated	culture	evolved
culture	evolved	in
evolved	in	the
in	the	cyclades
the	cyclades	islands
cyclades	islands	the
islands	the	distinctive
the	distinctive	sculpted
distinctive	sculpted	marble
sculpted	marble	figures
marble	figures	of
figures	of	the
of	the	era
the	era	are
era	are	now
are	now	being
now	being	reproduced
being	reproduced	in
reproduced	in	vast
in	vast	quantities
vast	quantities	as
quantities	as	souvenirs
as	souvenirs	you
souvenirs	you	will
you	will	find
will	find	original
find	original	examples
original	examples	in
examples	in	the
in	the	archaeological
the	archaeological	museums
archaeological	museums	throughout
museums	throughout	the
throughout	the	cyclades
the	cyclades	although
cyclades	although	one
although	one	of
one	of	the
of	the	earliest
the	earliest	examples
earliest	examples	is
examples	is	in
is	in	the
in	the	museum
the	museum	on
museum	on	paros
on	paros	the
paros	the	people
the	people	farmed
people	farmed	and
farmed	and	fished
and	fished	on
fished	on	the
on	the	dawning
the	dawning	of
dawning	of	the
of	the	bronze
the	bronze	age
bronze	age	in
age	in	2700
in	2700	b
2700	b	c
b	c	they
c	they	began
they	began	to
began	to	work
to	work	with
work	with	metals
with	metals	the
metals	the	cycladic
the	cycladic	culture
cycladic	culture	was
culture	was	influenced
was	influenced	by
influenced	by	societies
by	societies	in
societies	in	the
in	the	east
the	east	importing
east	importing	the
importing	the	pottery
the	pottery	wheel
pottery	wheel	from
wheel	from	mesopotamia
from	mesopotamia	they
mesopotamia	they	also
they	also	continued
also	continued	to
continued	to	trade
to	trade	in
trade	in	obsidian
in	obsidian	and
obsidian	and	the
and	the	local
the	local	marble
local	marble	the
marble	the	minoans
the	minoans	and
minoans	and	the
and	the	myceneans
the	myceneans	farther
myceneans	farther	south
farther	south	in
south	in	crete
in	crete	the
crete	the	minoan
the	minoan	culture
minoan	culture	developed
culture	developed	after
developed	after	2000
after	2000	b
2000	b	c
b	c	into
c	into	the
into	the	most
the	most	significant
most	significant	of
significant	of	its
of	its	age
its	age	spreading
age	spreading	its
spreading	its	influence
its	influence	throughout
influence	throughout	the
throughout	the	region
the	region	by
region	by	trade
by	trade	and
trade	and	diplomacy
and	diplomacy	santorini
diplomacy	santorini	thira
santorini	thira	the
thira	the	next
the	next	major
next	major	island
major	island	north
island	north	was
north	was	heavily
was	heavily	influenced
heavily	influenced	by
influenced	by	crete
by	crete	and
crete	and	the
and	the	settlements
the	settlements	of
settlements	of	thira
of	thira	and
thira	and	akrotiri
and	akrotiri	thrived
akrotiri	thrived	at
thrived	at	this
at	this	time
this	time	the
time	the	magnificent
the	magnificent	frescoes
magnificent	frescoes	and
frescoes	and	mosaics
and	mosaics	found
mosaics	found	at
found	at	akrotiri
at	akrotiri	are
akrotiri	are	in
are	in	athens
in	athens	at
athens	at	present
at	present	but
present	but	the
but	the	remains
the	remains	of
remains	of	the
of	the	buildings
the	buildings	at
buildings	at	the
at	the	site
the	site	provide
site	provide	ample
provide	ample	evidence
ample	evidence	of
evidence	of	the
of	the	sophistication
the	sophistication	of
sophistication	of	the
of	the	culture
the	culture	here
culture	here	around
here	around	1500
around	1500	b
1500	b	c
b	c	a
c	a	massive
a	massive	volcanic
massive	volcanic	eruption
volcanic	eruption	at
eruption	at	santorini
at	santorini	destroyed
santorini	destroyed	not
destroyed	not	only
not	only	akrotiri
only	akrotiri	under
akrotiri	under	feet
under	feet	of
feet	of	ash
of	ash	and
ash	and	pumice
and	pumice	but
pumice	but	the
but	the	whole
the	whole	minoan
whole	minoan	civilization
minoan	civilization	massive
civilization	massive	tidal
massive	tidal	waves
tidal	waves	swept
waves	swept	over
swept	over	crete
over	crete	and
crete	and	other
